video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g104,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g104,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g104,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g104,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g104,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g104,1st Shrimp,APART,,0,0,0,NA,-,-,0
g104,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g104,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g104,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g104,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g104,2nd Goby,NEAR,,0,0,0,NA,-,-,0
g104,2nd Goby,AWAY,,0,0,0,NA,-,-,0
g104,2nd Goby,CONTACT,,0,0,0,NA,-,-,0
g104,2nd Goby,APART,,0,0,0,NA,-,-,0
g104,2nd Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g104,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g104,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g104,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g104,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g104,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g104,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g104,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g104,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g104,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g104,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g104,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g104,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g104,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g104,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g104,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g104,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g104,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g105,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g105,1st Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g105,1st Goby,EDGE,,4,43.252,10.813,8.03,51.607,56.878,14.4
g105,1st Goby,NEAR,,8,79.837,9.98,12.997,17.516,23.344,26.6
g105,1st Goby,BLACK EYES,,9,87.713,9.746,3.051,22.334,19.431,29.2
g105,1st Goby,APART,,11,104.207,9.473,7.638,11.817,19.266,34.7
g105,1st Goby,AWAY,,5,176.895,35.379,34.871,16.101,12.738,59
g105,1st Goby,CONTACT,,12,195.771,16.314,21.809,9.475,7.638,65.3
g105,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g105,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g105,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g105,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g105,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g105,1st Shrimp,APART,,0,0,0,NA,-,-,0
g105,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g105,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g105,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g105,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g105,2nd Goby,NEAR,,0,0,0,NA,-,-,0
g105,2nd Goby,AWAY,,0,0,0,NA,-,-,0
g105,2nd Goby,CONTACT,,0,0,0,NA,-,-,0
g105,2nd Goby,APART,,0,0,0,NA,-,-,0
g105,2nd Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g105,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g105,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g105,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g105,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g105,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g105,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g105,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g105,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g105,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g105,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g105,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g105,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g105,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g105,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g105,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g105,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g105,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g106,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g106,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g106,1st Goby,NEAR,,1,1.537,1.537,NA,NA,NA,0.5
g106,1st Goby,EDGE,,1,5.861,5.861,NA,NA,NA,2
g106,1st Goby,OUT OF FRME,,1,118.506,118.506,NA,NA,NA,39.5
g106,1st Goby,APART,,1,126.193,126.193,NA,NA,NA,42.1
g106,1st Goby,CONTACT,,2,173.805,86.902,114.61,126.195,NA,57.9
g106,1st Goby,AWAY,,1,292.6,292.6,NA,NA,NA,97.5
g106,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g106,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g106,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g106,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g106,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g106,1st Shrimp,APART,,0,0,0,NA,-,-,0
g106,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g106,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g106,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g106,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g106,2nd Goby,NEAR,,0,0,0,NA,-,-,0
g106,2nd Goby,AWAY,,0,0,0,NA,-,-,0
g106,2nd Goby,CONTACT,,0,0,0,NA,-,-,0
g106,2nd Goby,APART,,0,0,0,NA,-,-,0
g106,2nd Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g106,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g106,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g106,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g106,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g106,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g106,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g106,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g106,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g106,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g106,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g106,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g106,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g106,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g106,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g106,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g106,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g106,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g107,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g107,1st Goby,INSIDE,,1,1.004,1.004,NA,NA,NA,0.3
g107,1st Goby,EDGE,,3,17.056,5.685,4.933,83.525,116.699,5.7
g107,1st Goby,NEAR,,4,135.871,33.968,49.004,54.71,79.147,45.3
g107,1st Goby,CONTACT,,3,138.456,46.152,59.283,80.772,105.042,46.2
g107,1st Goby,OUT OF FRME,,1,144.558,144.558,NA,NA,NA,48.2
g107,1st Goby,AWAY,,1,146.061,146.061,NA,NA,NA,48.7
g107,1st Goby,APART,,2,161.54,80.77,105.042,4.019,NA,53.8
g107,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g107,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g107,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g107,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g107,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g107,1st Shrimp,APART,,0,0,0,NA,-,-,0
g107,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g107,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g107,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g107,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g107,2nd Goby,NEAR,,2,7.533,3.766,1.784,12.511,NA,2.5
g107,2nd Goby,EDGE,,1,12.509,12.509,NA,NA,NA,4.2
g107,2nd Goby,CONTACT,,2,17.053,8.526,7.765,1.007,NA,5.7
g107,2nd Goby,OUT OF FRME,,2,249.928,124.964,32.371,50.072,NA,83.3
g107,2nd Goby,AWAY,,2,279.954,139.977,52.194,20.046,NA,93.3
g107,2nd Goby,APART,,3,282.943,94.314,88.835,8.529,7.765,94.3
g107,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g107,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g107,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
